ID, File,((<.+=("|'|`))(.*courses\.byui\.edu.*("|'|`)).+>)|(courses\.byui\.edu),((<.+=("|'|`))(.*stream\.byui\.edu.*("|'|`)).+>)|(stream\.byui\.edu),((<.+=("|'|`))(.*brightcove.*("|'|`)).+>)|(brightcove),
59656,References.html,0,0,1,
61374,Orientation to Online Learning at BYU-Idaho.html,4,0,0,
61375,Case Study - Margaret and Weight Loss.html,0,1,0,
61375,Case Study - Minnesota Semi-Starvation Experiment.html,0,1,0,
61375,Case Study - Protein Energy Malnutrition.html,0,1,0,
61375,L13.04 Group Discussion Board - Maternal & Child Nutrition - Instructions.html,0,1,0,
61375,Preparation - Energy Balance.html,0,1,0,
61375,Preparation - Evaluating Nutrition Information.html,0,1,0,
61375,Preparation - Promoting Healthy Weights.html,0,1,0,
61375,Preparation - Proteins and Amino Acids.html,0,1,0,
61375,Preparation - Vitamins.html,0,0,1,
61375,Preparation Template.html,1,0,0,
61377,L03.05 Interpret your Campbell Interest and Skill Survey results (1 hour).html,1,0,0,
61377,Setup For Course Instructor.html,0,1,0,
61377,Take the Campbell Interest and Skill Survey  1 hour .html,2,0,0,
61378,Internet Fundamentals.html,0,0,1,
61381,Setup for Course Instructor.html,0,1,0,
61911,Tutorials  I-Learn .html,0,1,0,
61911,Video  BYUI Learning Model.html,0,1,0,
61929,References.html,0,1,0,
62216,Lesson_02_Individual_Preparation.html,1,0,0,
62216,Lesson_03_Individual_Preparation.html,3,0,0,
62216,Lesson_04_Individual_Preparation.html,2,0,0,
62216,Lesson_05_Individual_Preparation.html,3,0,0,
62216,Lesson_06_Individual_Preparation.html,3,0,0,
62216,Lesson_07_Individual_Preparation.html,3,0,0,
62216,Lesson_09_Individual_Preparation.html,4,0,0,
62216,Lesson_10_Individual_Preparation.html,3,0,0,
62216,Lesson_11_Individual_Preparation.html,3,0,0,
62216,Lesson_12_Individual_Preparation.html,3,0,0,
62216,Lesson_13_Individual_Preparation.html,3,0,0,
62216,Lesson_14_Individual_Preparation.html,3,0,0,
62216,Lesson_16_Individual_Preparation.html,3,0,0,
62216,Lesson_17_Individual_Preparation.html,3,0,0,
62216,Lesson_18_Individual_Preparation.html,2,0,0,
62216,Lesson_19_Individual_Preparation.html,3,0,0,
62216,Lesson_21_Individual_Preparation.html,3,0,0,
62216,Lesson_22_Individual_Preparation.html,2,0,0,
62216,Lesson_23_Individual_Preparation.html,3,0,0,
62216,Setup Notes For Development Team (new).html,1,0,0,
62216,Setup Notes for Development Team.html,1,0,0,
62217,Lesson_02_Individual_Preparation.html,1,0,0,
62217,Lesson_03_Individual_Preparation.html,3,0,0,
62217,Lesson_04_Individual_Preparation.html,2,0,0,
62217,Lesson_05_Individual_Preparation.html,3,0,0,
62217,Lesson_06_Individual_Preparation.html,3,0,0,
62217,Lesson_07_Individual_Preparation.html,3,0,0,
62217,Lesson_09_Individual_Preparation.html,4,0,0,
62217,Lesson_10_Individual_Preparation.html,3,0,0,
62217,Lesson_11_Individual_Preparation.html,4,0,0,
62217,Lesson_12_Individual_Preparation.html,3,0,0,
62217,Lesson_13_Individual_Preparation.html,3,0,0,
62217,Lesson_14_Individual_Preparation.html,3,0,0,
62217,Lesson_16_Individual_Preparation.html,3,0,0,
62217,Lesson_17_Individual_Preparation.html,3,0,0,
62217,Lesson_18_Individual_Preparation.html,2,0,0,
62217,Lesson_19_Individual_Preparation.html,3,0,0,
62217,Lesson_21_Individual_Preparation.html,3,0,0,
62217,Lesson_22_Individual_Preparation.html,2,0,0,
62217,Lesson_23_Individual_Preparation.html,3,0,0,
62217,Setup Notes for Development Team (new).html,1,0,0,
62218,Lesson_02_Individual_Preparation.html,1,0,0,
62218,Lesson_03_Individual_Preparation.html,3,0,0,
62218,Lesson_04_Individual_Preparation.html,2,0,0,
62218,Lesson_05_Individual_Preparation.html,3,0,0,
62218,Lesson_06_Individual_Preparation.html,3,0,0,
62218,Lesson_07_Individual_Preparation.html,3,0,0,
62218,Lesson_09_Individual_Preparation.html,4,0,0,
62218,Lesson_10_Individual_Preparation.html,3,0,0,
62218,Lesson_11_Individual_Preparation.html,4,0,0,
62218,Lesson_12_Individual_Preparation.html,3,0,0,
62218,Lesson_13_Individual_Preparation.html,3,0,0,
62218,Lesson_14_Individual_Preparation.html,3,0,0,
62218,Lesson_16_Individual_Preparation.html,3,0,0,
62218,Lesson_17_Individual_Preparation.html,3,0,0,
62218,Lesson_18_Individual_Preparation.html,2,0,0,
62218,Lesson_19_Individual_Preparation.html,3,0,0,
62218,Lesson_21_Individual_Preparation.html,3,0,0,
62218,Lesson_22_Individual_Preparation.html,2,0,0,
62218,Lesson_23_Individual_Preparation.html,3,0,0,
62218,Setup Notes For Development Team (new).html,1,0,0,
63195,L01 Lesson Notes.html,0,1,0,
63195,Setup for Course Instructor.html,0,1,0,
63196,CL  Concluding Cases.html,2,0,0,
63196,L01  Concluding Cases .html,5,0,0,
63196,L02  Concluding Cases.html,3,0,0,
63196,L03  Concluding Cases.html,3,0,0,
63196,L04  Concluding Cases.html,5,0,0,
63196,L05  Concluding Cases.html,4,0,0,
63196,L06  Concluding Cases.html,4,0,0,
63196,L07  Concluding Cases.html,3,0,0,
63196,L08  Concluding Cases.html,4,0,0,
63196,L09  Concluding Cases.html,4,0,0,
63196,L10  Concluding Cases.html,5,0,0,
63196,L11  Concluding Cases.html,8,0,0,
63196,L12  Concluding Cases.html,5,0,0,
63196,Orientation to Online Learning at BYU-Idaho.html,1,0,0,
63921,11.05 ReadingsVideos.html,0,1,0,
63921,L02.05 ReadingsVideos - 60 minutes.html,0,2,0,
63921,L04.05 ReadingsVideos.html,0,3,0,
63921,L06.05 ReadingVideos.html,0,2,0,
63921,L09.05 ReadingsVideos.html,0,1,0,
64185,Orientation to Online Learning at BYU-Idaho.html,1,0,0,
6633,Orientation to Online Learning.html,4,0,0,
6633,Prepare.html,1,0,0,
67129,L 03 Relevance - LDS Humanitarian Aid.html,0,0,2,
67129,L 04 Relevance - Participating in Groups.html,0,0,1,
67132,Orientation to Online Learning at BYU-Idaho.html,3,0,0,
67132,Setup for Course Instructor.html,0,1,0,
67133,Paper Topic.html,3,0,0,
67133,Setup for Course Instructor.html,0,1,0,
67136,References.html,0,1,0,
67138,Online Community.html,1,0,0,
67139,Student Preparation165687.html,0,2,0,
68324,ReplySummary Posts for Characteristics of a successful salesperson.html,1,0,0,
69035,Orientation to Online Learning.html,3,0,0,
81222,Orientation to Online Learning.html,3,0,0,
99482,IL  Orientation to Online Learning at BYU-Idaho - 5 min.html,3,0,0,
99482,Orientation to Online Learning at BYU - Idaho.html,3,0,0,
,Total:,564,255,111,
